time_s,x_m,y_m,z_m,roll_rad,pitch_rad,yaw_rad
8.61,-0.15731533556204144,-0.12098685935990387,0.265955460769615,0.2224552232178887,-0.07814855464039283,-0.2096395943216285
8.620000000000001,-0.15452089602190405,-0.12023207260409895,0.26689369634919435,0.2244810848075942,-0.06953901404725915,-0.20257896957115573
8.63,-0.15171725268169173,-0.11942686143611825,0.2678544551476267,0.22614421504604554,-0.06068050749895848,-0.19546493102419538
8.64,-0.14890830078113215,-0.11856972436075558,0.2688389181877022,0.22751548112732323,-0.051554620145466856,-0.18826454097580747
8.65,-0.14609503208298785,-0.1176543070047181,0.2698473337049244,0.2286799176951635,-0.04216202994229068,-0.18095132338736164
8.66,-0.1432746616913697,-0.11666955172264097,0.27087928161553226,0.22972815290052573,-0.03252033008165123,-0.17350687135698895
8.67,-0.14044032282441826,-0.11560073581681587,0.27193394178149616,0.2307472135387898,-0.022661138076195186,-0.16592133123498698
8.68,-0.13758159247488244,-0.11443130086145202,0.27301026028689773,0.2318123911321308,-0.01262715727967878,-0.15819271135046664
8.69,-0.13468596244685005,-0.11314514066729751,0.27410699443879477,0.23298113033561707,-0.0024691558762914845,-0.15032552360380214
8.700000000000001,-0.13174110641894882,-0.11172890801881327,0.2752226778221813,0.23428914122140965,0.007757438971265351,-0.1423295415728858
8.71,-0.12873749834564874,-0.11017391507701137,0.2763555602801033,0.23574852212332642,0.01799626528365028,-0.13421926481708768
8.72,-0.12567075376422407,-0.10847729714324307,0.27750354053595067,0.23734767887582686,0.028193493254151214,-0.1260140939239287
8.73,-0.12254308203939203,-0.10664224778336548,0.278664083255961,0.2390530928514467,0.03830041876706858,-0.11773851600216867
8.74,-0.11936343807490918,-0.10467729812707527,0.27983416396687105,0.24081315151969784,0.04827504405312588,-0.10942118662972522
8.75,-0.11614626651284463,-0.1025947959791603,0.28101035393726326,0.24256397407892782,0.05808300464014193,-0.10109210727788165
8.76,-0.11290906276626013,-0.10040890197408948,0.2821891339067733,0.24423658606645704,0.06769821824460598,-0.09277819420451738
8.77,-0.109669274907866,-0.0981334958227817,0.28336742745975774,0.24576439947070128,0.07710321071718917,-0.08449879528649396
8.78,-0.10644126186214992,-0.0957803599531278,0.2845432649368554,0.24708991820565895,0.08628881310092851,-0.07626322807623609
8.790000000000001,-0.10323401187944041,-0.09335793281556136,0.2857164483247346,0.24816970924365211,0.09525320806762094,-0.06807175761630768
8.8,-0.10005008101695181,-0.0908708373993923,0.28688905244184326,0.2489769446742458,0.10400076817377757,-0.05991996685879908
